id,cod_versione,testo_breve
Gen_28,vulgata,"Vocavit itaque Isaac Iacob et benedixit eum praecepitque ei dicens: “ Noli accipere coniugem de filiabus Chanaan; surge, vade in Paddanaram ad domum Bathuel patris matris tuae et accipe tibi inde uxorem de filiabus Laban avunculi tui."
Gen_29,vulgata,"Profectus ergo Iacob venit in terram orientalium. Et vidit puteum in agro, tres quoque greges ovium accubantes iuxta eum; nam ex illo adaquabantur pecora, et os eius grandi lapide claudebatur."
Gen_30,vulgata,"Cernens autem Rachel quod infecunda esset, invidit sorori et ait marito suo: “ Da mihi liberos, alioquin moriar ”. Cui iratus respondit Iacob: “ Num pro Deo ego sum, qui privavit te fructu ventris? ”."
Gen_31,vulgata,"Postquam autem audivit verba filiorum Laban dicentium: “ Tulit Iacob omnia, quae fuerunt patris nostri, et de patris nostri facultate acquisivit has divitias ”, animadvertit quoque faciem Laban quod non esset erga se sicut heri et nudiustertius."
Gen_32,vulgata,"Laban vero de nocte consurgens osculatus est filios et filias suas et benedixit illis reversusque est in locum suum. Iacob quoque abiit itinere, quo coeperat, fueruntque ei obviam angeli Dei."
Gen_33,vulgata,"Elevans autem Iacob oculos suos vidit venientem Esau et cum eo quadringentos viros; divisitque filios Liae et Rachel ambarumque famularum. Et posuit utramque ancillam et liberos earum in principio, Liam vero et filios eius in secundo loco, Rachel autem et Ioseph novissimos."
Gen_34,vulgata,"Egressa est autem Dina filia, quam Lia pepererat Iacob, ut videret filias regionis illius. Quam cum vidisset Sichem filius Hemmor Hevaei principis terrae illius, adamavit eam et rapuit; et dormivit cum illa, vi opprimens illam."
Gen_35,vulgata,"Locutus est Deus ad Iacob: “ Surge et ascende Bethel et habita ibi; facque altare Deo, qui apparuit tibi, quando fugiebas Esau fratrem tuum ”. Iacob vero, convocata omni domo sua, ait: “ Abigite deos alienos, qui in medio vestri sunt, et mundamini ac mutate vestimenta vestra."
Gen_36,vulgata,Hae sunt autem generationes Esau. Ipse est Edom. Esau accepit uxores de filiabus Chanaan: Ada filiam Elon Hetthaei et Oolibama filiam Ana filii Sebeon Horraei;
Gen_37,vulgata,"Habitavit autem Iacob in terra Chanaan, in qua peregrinatus est pater suus. Hae sunt generationes Iacob. Ioseph, cum decem et septem esset annorum, pascebat gregem cum fratribus suis adhuc puer; et erat cum filiis Bilhae et Zelphae uxorum patris sui; detulitque patri malam eorum famam."
Gen_38,vulgata,"Eo tempore descendens Iudas a fratribus suis divertit ad virum Odollamitem nomine Hiram. Viditque ibi filiam hominis Chananaei vocabulo Sue et, accepta uxore, ingressus est ad eam."
Gen_39,vulgata,"Igitur Ioseph ductus est in Aegyptum; emitque eum Putiphar eunuchus pharaonis, princeps satellitum, vir Aegyptius, de manu Ismaelitarum, a quibus perductus erat. Fuitque Dominus cum eo, et erat vir in cunctis prospere agens habitabatque in domo domini sui."
Gen_40,vulgata,"His ita gestis, accidit ut peccarent pincerna regis Aegypti et pistor domino suo. Iratusque pharao contra duos eunuchos, praepositum pincernarum et praepositum pistorum,"
Gen_41,vulgata,"Post duos annos vidit pharao somnium. Putabat se stare super fluvium, de quo ascendebant septem boves pulchrae et crassae et pascebantur in locis palustribus."
Gen_42,vulgata,"Audiens autem Iacob quod alimenta venderentur in Aegypto, dixit filiis suis: “ Quare aspicitis vos invicem? Audivi quod triticum venumdetur in Aegypto; descendite et emite nobis necessaria, ut possimus vivere et non consumamur inopia ”."
Gen_43,vulgata,"Interim fames omnem terram vehementer premebat; consumptisque cibis, quos ex Aegypto detulerant, dixit Iacob ad filios suos: “ Revertimini et emite nobis pauxillum escarum ”."
Gen_44,vulgata,"Praecepit autem Ioseph dispensatori domus suae dicens: “ Imple saccos eorum frumento, quantum possunt capere, et pone pecuniam singulorum in summitate sacci. Scyphum autem meum argenteum et pretium, quod dedit tritici, pone in ore sacci iunioris ”. Factumque est ita."
Gen_45,vulgata,"Non se poterat ultra cohibere Ioseph omnibus coram astantibus, unde clamavit: “ Egredimini, cuncti, foras! ”. Et nemo aderat cum eo, quando manifestavit se fratribus suis. Elevavitque vocem cum fletu, quam audierunt Aegyptii omnisque domus pharaonis."
Gen_46,vulgata,"Profectusque Israel cum omnibus, quae habebat, venit Bersabee et, mactatis ibi victimis Deo patris sui Isaac, audivit eum per visionem noctis vocantem se: “ Iacob, Iacob! ”. Cui respondit: “ Ecce adsum! ”."
Gen_47,vulgata,"Ingressus ergo Ioseph nuntiavit pharaoni dicens: “ Pater meus et fratres, oves eorum et armenta et cuncta, quae possident, venerunt de terra Chanaan; et ecce consistunt in terra Gessen ”. Ex omnibus fratribus suis quinque viros statuit coram rege,"
Gen_48,vulgata,"His ita transactis, nuntiatum est Ioseph quod aegrotaret pater suus. Et assumpsit secum duos filios Manasse et Ephraim. Dictumque est seni: “ Ecce filius tuus Ioseph venit ad te ”. Qui confortatus sedit in lectulo"
Gen_49,vulgata,"Vocavit autem Iacob filios suos et ait eis: “ Congregamini, ut annuntiem, quae ventura sunt vobis in diebus novissimis. Congregamini et audite, filii Iacob, audite Israel patrem vestrum!"
Gen_50,vulgata,"Ioseph ruit super faciem patris flens et deosculans eum. Praecepitque servis suis medicis, ut aromatibus condirent patrem."
Es_1,vulgata,"Haec sunt nomina filiorum Israel, qui ingressi sunt Aegyptum cum Iacob; singuli cum domibus suis introierunt: Ruben, Simeon, Levi, Iuda,"
Es_2,vulgata,Egressus est vir de domo Levi et accepit uxorem stirpis suae; quae concepit et peperit filium et videns eum elegantem abscondit tribus mensibus.
Es_3,vulgata,"Moyses autem pascebat oves Iethro soceri sui sacerdotis Madian; cumque minasset gregem ultra desertum, venit ad montem Dei Horeb. Apparuitque ei angelus Domini in flamma ignis de medio rubi; et videbat quod rubus arderet et non combureretur."
Es_4,vulgata,"Respondens Moyses ait: “ Quid autem, si non credent mihi ne que audient vocem meam, sed dicent: ""Non apparuit tibi Dominus?"" ”. Dixit ergo ad eum: “ Quid est quod tenes in manu tua? ”. Respondit: “ Virga ”."
Es_5,vulgata,"Post haec ingressi sunt Moyses et Aaron et dixerunt pharaoni: “ Haec dicit Dominus, Deus Israel: Dimitte populum meum, ut sacrificet mihi in deserto ”. At ille respondit: “ Quis est Dominus, ut audiam vocem eius et dimittam Israel? Nescio Dominum et Israel non dimittam ”."
Es_6,vulgata,"Dixitque Dominus ad Moysen: “ Nunc videbis quae facturus sim pharaoni; per manum enim fortem dimittet eos et in manu robusta eiciet illos de terra sua ”. Locutusque est Dominus ad Moysen dicens: “ Ego Dominus,"
Es_7,vulgata,"Dixitque Dominus ad Moysen: “ Ecce constitui te deum pharaonis, et Aaron frater tuus erit propheta tuus. Tu loqueris omnia, quae mando tibi; et ille loquetur ad pharaonem, ut dimittat filios Israel de terra sua."
Es_8,vulgata,"Dixitque Dominus ad Moysen: “ Dic ad Aaron: Extende manum tuam cum baculo tuo super fluvios, super rivos ac paludes et educ ranas super terram Aegypti ”. Et extendit Aaron manum super aquas Aegypti, et ascenderunt ranae operueruntque terram Aegypti."
Es_9,vulgata,"Dixit autem Dominus ad Moysen: “ Ingredere ad pharaonem et loquere ad eum: Haec dicit Dominus, Deus Hebraeorum: Dimitte populum meum, ut sacrificet mihi. Quod si adhuc renuis et retines eos,"
Es_10,vulgata,"Et dixit Dominus ad Moysen: “ Ingredere ad pharaonem: ego enim induravi cor eius et servorum illius, ut faciam signa mea haec in medio eorum, et narres in auribus filii tui et nepotum tuorum, quotiens contriverim Aegyptios et signa mea fecerim in eis; et sciatis quia ego Dominus ”."
Es_11,vulgata,"Et dixit Dominus ad Moysen: “ Adhuc una plaga tangam pharaonem et Aegyptum, et post haec dimittet vos utique, immo et exire compellet. Dices ergo omni plebi, ut postulet vir ab amico suo et mulier a vicina sua vasa argentea et aurea;"
Es_12,vulgata,"Dixit Dominus ad Moysen et Aaron in terra Aegypti: “ Mensis iste vobis principium mensium, primus erit in mensibus anni."
Es_13,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Sanctifica mihi omne primogenitum, quod aperit vulvam in filiis Israel, tam de hominibus quam de iumentis: mea sunt enim omnia ”."
Es_14,vulgata,"Locutus est autem Dominus ad Moysen dicens: “ Loquere filiis Israel: Reversi castrametentur e regione Phihahiroth, quae est inter Magdolum et mare contra Beelsephon; in conspectu eius castra ponetis super mare."
Es_15,vulgata,"Tunc cecinit Moyses et filii Israel carmen hoc Domino, et dixerunt: “ Cantemus Domino, gloriose enim magnificatus est: equum et ascensorem eius deiecit in mare! Fortitudo mea et robur meum Dominus, et factus est mihi in salutem. Iste Deus meus, et glorificabo eum; Deus patris mei, et exaltabo eum!"
Es_16,vulgata,"Profectique sunt de Elim, et venit omnis congregatio filiorum Israel in desertum Sin, quod est inter Elim et Sinai, quinto decimo die mensis secundi postquam egressi sunt de terra Aegypti. Et murmuravit omnis congregatio filiorum Israel contra Moysen et Aaron in solitudine,"
Es_17,vulgata,"Igitur profecta omnis congregatio filiorum Israel de deserto Sin per mansiones suas iuxta sermonem Domini, castrametati sunt in Raphidim, ubi non erat aqua ad bibendum populo. Qui iurgatus contra Moysen ait: “ Da nobis aquam, ut bibamus ”. Quibus respondit Moyses: “ Quid iurgamini contra me? Cur tentatis Dominum? ”."
Es_18,vulgata,"Cumque audisset Iethro sacerdos Madian socer Moysi omnia, quae fecerat Deus Moysi et Israel populo suo, eo quod eduxisset Dominus Israel de Aegypto, tulit Sephoram uxorem Moysi, quam remiserat,"
Es_19,vulgata,"Mense tertio egressionis Israel de terra Aegypti, in die hac venerunt in solitudinem Sinai. Nam profecti de Raphidim et pervenientes usque in desertum Sinai, castrametati sunt in eodem loco,ibique Israel fixit tentoria e regione montis."
Es_20,vulgata,"Locutusque est Deus cunctos sermones hos: “ Ego sum Dominus Deus tuus, qui eduxi te de terra Aegypti, de domo servitutis."
Es_21,vulgata,"Haec sunt iudicia, quae propones eis: Si emeris servum Hebraeum, sex annis serviet tibi; in septimo egredietur liber gratis."
Es_22,vulgata,"Si effringens fur domum sive suffodiens fuerit inventus et, accepto vulnere, mortuus fuerit, percussor non erit reus sanguinis. Quod si orto sole hoc fecerit, erit reus sanguinis. Fur plene restituet. Si non habuerit, quod reddat, venumdabitur pro furto."
Es_23,vulgata,"Non suscipies famam falsam nec iunges manum tuam cum impio, ut dicas falsum testimonium. Non sequeris turbam ad faciendum malum; nec in iudicio plurimorum acquiesces sententiae, ut a vero devies."
Es_24,vulgata,"Moysi quoque dixit: “ Ascende ad Dominum, tu et Aaron, Nadab et Abiu et septuaginta senes ex Israel, et adorabitis procul. Solusque Moyses ascendet ad Dominum, et illi non appropinquabunt, nec populus ascendet cum eo ”."
Es_25,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Loquere filiis Israel, ut tollant mihi donaria; ab omni homine, qui offert ultroneus, accipietis ea."
Es_26,vulgata,"Habitaculum vero ita facies: decem cortinas de bysso retorta et hyacintho ac purpura coccoque cum cherubim opere polymito facies. Longitudo cortinae unius habebit viginti octo cubitos, latitudo quattuor cubitorum erit. Unius mensurae fient universae cortinae."
Es_27,vulgata,"Facies et altare de lignis acaciae, quod habebit quinque cubitos in longitudine et totidem in latitudine, id est quadrum, et tres cubitos in altitudine. Cornua autem per quattuor angulos ex ipso erunt, et operies illud aere."
Es_28,vulgata,"Applica quoque ad te Aaron fratrem tuum cum filiis suis de medio filiorum Israel, ut sacerdotio fungantur mihi: Aaron, Nadab et Abiu, Eleazar et Ithamar. Faciesque vestes sanctas Aaron fratri tuo in gloriam et decorem;"
Es_29,vulgata,"Sed et hoc facies eis, ut mihi in sacerdotio consecrentur: tolle vitulum unum de armento et arietes duos immaculatos panesque azymos et crustulas absque fermento, quae conspersa sint oleo, lagana quoque azyma oleo lita; de simila triticea cuncta facies"
Es_30,vulgata,"Facies quoque altare ad adolendum thymiama de lignis acaciae habens cubitum longitudinis et alterum latitudinis, id est quadrangulum, et duos cubitos in altitudine; cornua ex ipso procedent."
Es_31,vulgata,Locutusque est Dominus ad Moysen dicens: “ Ecce vocavi ex nomine Beseleel filium Uri filii Hur de tribu Iudae
Es_32,vulgata,"Videns autem populus quod moram faceret descendendi de monte Moyses, congregatus ad Aaron dixit: “ Surge, fac nobis deos, qui nos praecedant; Moysi enim, huic viro, qui nos eduxit de terra Aegypti, ignoramus quid acciderit ”. Dixitque ad eos Aaron: “ Tollite inaures aureas de uxorum filiorumque et filiarum vestrarum auribus et afferte ad me ”."
Es_33,vulgata,"Locutusque est Dominus ad Moysen: “ Vade, ascende de loco isto, tu et populus tuus, quem eduxisti de terra Aegypti, in terram, quam iuravi Abraham, Isaac et Iacob dicens: Semini tuo dabo eam. Et mittam praecursorem tui angelum et eiciam Chananaeum et Amorraeum et Hetthaeum et Pherezaeum et Hevaeum et Iebusaeum,"
Es_34,vulgata,"Dixitque Dominus ad Moysen: “ Praecide tibi duas tabulas lapideas instar priorum, et scribam super eas verba, quae habuerunt tabulae, quas fregisti. Esto paratus mane, ut ascendas statim in montem Sinai; stabisque mihi super verticem montis."
Es_35,vulgata,"Igitur, congregato omni coetu filiorum Israel, dixit ad eos: “ Haec sunt, quae iussit Dominus fieri: sex diebus facietis opus, septimus dies erit vobis sanctus, sabbatum et requies Domino; qui fecerit opus in eo, occidetur."
Es_36,vulgata,"Fecit ergo Beseleel et Ooliab et omnis vir sapiens, quibus dedit Dominus sapientiam et intellectum, ut scirent fabre operari, quae in usus sanctuarii necessaria sunt et quae praecepit Dominus. Cumque vocasset Moyses Beseleel et Ooliab et omnem eruditum virum, cui dederat Dominus sapientiam, omnes, qui sponte sua obtulerant se ad faciendum opus,"
Es_37,vulgata,"Fecit autem Beseleel et arcam de lignis acaciae habentem duos semis cubitos in longitudine et cubitum ac semissem in latitudine, altitudo quoque unius cubiti fuit et dimidii; vestivitque eam auro purissimo intus ac foris. Et fecit illi coronam auream per gyrum,"
Es_38,vulgata,"Fecit et altare holocausti de lignis acaciae quinque cubitorum per quadrum et trium in altitudine, cuius cornua de angulis procedebant; operuitque illud laminis aeneis."
Es_39,vulgata,"De hyacintho vero et purpura, cocco ac bysso fecerunt vestes textas pro ministerio sanctuarii. Et fecerunt vestes sacras Aaron, sicut praecepit Dominus Moysi. Fecerunt igitur ephod de auro, hyacintho et purpura coccoque et bysso retorta"
Es_40,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Mense primo, die prima mensis eriges habitaculum, tabernaculum conventus,"
Lv_1,vulgata,"Vocavit autem Moysen et locutus est ei Dominus de tabernaculo conventus dicens: “ Loquere filiis Israel et dices ad eos: Homo, qui obtulerit ex vobis hostiam Domino de animalibus domesticis, de bobus et pecoribus offerens victimas,"
Lv_2,vulgata,"Anima cum obtulerit oblationem sacrificii farinae Domino, simila erit eius oblatio, fundetque super eam oleum et ponet tus ac deferet ad filios Aaron sacerdotes, tolletque ex eo pugillum plenum similae et olei ac totum tus, et sacerdos adolebit memoriale super altare, incensum odoris suavissimi Domino."
Lv_3,vulgata,"Quod si hostia pacificorum fuerit eius oblatio et de bobus voluerit offerre marem sive feminam, immaculata offeret coram Domino. Ponetque manum super caput victimae suae, quam immolabit ad ostium tabernaculi conventus, fundentque filii Aaron sacerdotes sanguinem per circuitum altaris"
Lv_4,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Loquere filiis Israel: Anima cum peccaverit per ignorantiam et de universis mandatis Domini, quae praecepit ut non fierent, quippiam fecerit,"
Lv_5,vulgata,"Si peccaverit anima et audiverit vocem iurantis testisque fuerit, quod aut ipse vidit aut comperit, si non indicaverit, iniquitatem portabit; vel si anima tetigerit aliquid immundum, sive cadaver bestiae sit aut iumenti vel reptilis, et absconditum fuerit ab eo, ipse immundus et reus erit;"
Lv_6,vulgata,Locutus est Dominus ad Moysen dicens: “ Praecipe Aaron et filiis eius: Haec est lex holocausti: cremabitur in foco altaris tota nocte usque mane; ignis altaris in eo ardebit.
Lv_7,vulgata,"Haec quoque est lex sacrificii pro delicto: sanctum sanctorum est, idcirco, ubi immolatur holocaustum, mactabitur et victima pro delicto; sanguis eius per gyrum fundetur altaris."
Lv_8,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Tolle Aaron cum filiis suis, vestes eorum et unctionis oleum, vitulum pro peccato, duos arietes, canistrum cum azymis;"
Lv_9,vulgata,"Facto autem octavo die, vocavit Moyses Aaron et filios eius ac maiores natu Israel dixitque ad Aaron: “ Tolle de armento vitulum pro peccato et arietem in holocaustum, utrumque immaculatum, et affer illos coram Domino."
Lv_10,vulgata,"Arreptisque Nadab et Abiu filii Aaron turibulis, posuerunt ignem et incensum desuper offerentes coram Domino ignem alienum, qui eis praeceptus non erat. Egressusque ignis a Domino devoravit eos, et mortui sunt coram Domino."
Lv_11,vulgata,"Locutus est Dominus ad Moysen et Aaron dicens: “ Dicite filiis Israel: Haec sunt animalia, quae comedere debetis de cunctis animantibus terrae."
Lv_12,vulgata,"Locutus est Dominus ad Moysen dicens: “ Loquere filiis Israel et dices ad eos: Mulier, si, suscepto semine, pepererit masculum, immunda erit septem diebus iuxta dies separationis menstruae,"
Lv_13,vulgata,"Locutus est Dominus ad Moysen et Aaron dicens: “ Homo, in cuius carne et cute ortus fuerit tumor sive pustula aut quasi lucens quippiam, id est plaga leprae, adducetur ad Aaron sacerdotem vel ad unum quemlibet filiorum eius sacerdotum."
Lv_14,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Hic est ritus leprosi, quando mundandus est: adducetur ad sacerdotem,"
Lv_15,vulgata,"Locutus est Dominus ad Moysen et Aaron dicens: “ Loquimini filiis Israel et dicite eis: Vir, si patitur fluxum seminis, immundus erit."
Lv_16,vulgata,"Locutusque est Dominus ad Moysen post mortem duum filiorum Aaron, quando appropinquantes in conspectum Domini interfecti sunt, et praecepit ei dicens: “ Loquere ad Aaron fratrem tuum, ne omni tempore ingrediatur sanctuarium, quod est intra velum coram propitiatorio, quo tegitur arca, ut non moriatur, quia in nube apparebo super propitiatorium;"
Lv_17,vulgata,"Et locutus est Dominus ad Moysen dicens: “ Loquere Aaron et filiis eius et cunctis filiis Israel et dices ad eos: Iste est sermo, quem mandavit Dominus dicens:"
Lv_18,vulgata,Locutus est Dominus ad Moysen dicens: “ Loquere filiis Israel et dices ad eos: Ego Dominus Deus vester.
Lv_19,vulgata,"Locutus est Dominus ad Moysen dicens: “ Loquere ad omnem coetum filiorum Israel et dices ad eos: Sancti estote, quia sanctus sum ego, Dominus Deus vester."
Lv_20,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Haec loqueris filiis Israel: Homo de filiis Israel et de advenis, qui habitant in Israel, si dederit de semine suo idolo Moloch, morte moriatur: populus terrae lapidabit eum."
Lv_21,vulgata,"Dixit quoque Dominus ad Moysen: “ Loquere ad sacerdotes filios Aaron et dices eis: Ne contaminetur sacerdos in mortibus civium suorum, nisi tantum in consanguineis propinquis, id est super matre et patre et filio ac filia, fratre quoque"
Lv_22,vulgata,"Locutus quoque est Dominus ad Moysen dicens: “ Loquere ad Aaron et ad filios eius, ut caveant ab his, quae consecrata sunt filiorum Israel, et non contaminent nomen sanctum meum, quae ipsi offerunt mihi. Ego Dominus."
Lv_23,vulgata,"Locutus est Dominus ad Moysen dicens: “ Loquere filiis Israel et dices ad eos: Hae sunt feriae Domini, quas vocabitis conventus sanctos; hae sunt feriae meae."
Lv_24,vulgata,"Et locutus est Dominus ad Moysen dicens: “ Praecipe filiis Israel, ut afferant tibi oleum de olivis purissimum ac lucidum ad concinnandas lucernas candelabri iugiter."
Lv_25,vulgata,"Locutusque est Dominus ad Moysen in monte Sinai dicens: “ Loquere filiis Israel et dices ad eos: Quando ingressi fueritis terram, quam ego dabo vobis, sabbatizet terra sabbatum Domino."
Lv_26,vulgata,"“ Non facietis vobis idolum et sculptile nec lapidem erigetis nec imaginem sculptam in petra ponetis in terra vestra, ut adoretis eam. Ego enim sum Dominus Deus vester. Custodite sabbata mea et pavete sanctuarium meum. Ego Dominus."
Lv_27,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Loquere filiis Israel et dices ad eos: Homo, qui votum fecerit et spoponderit Deo animas, sub aestimatione dabit pretium:"
Nm_1,vulgata,"Locutusque est Dominus ad Moysen in deserto Sinai in tabernaculo conventus, prima die mensis secundi, anno altero egressionis eorum ex Aegypto, dicens: “ Tollite summam universae congregationis filiorum Israel per cognationes et domos suas et nomina singulorum, quidquid sexus est masculini"
Nm_2,vulgata,"Locutusque est Dominus ad Moysen et Aaron dicens: “ Singuli per turmas, signa atque vexilla et domos patrum suorum castrametabuntur filii Israel per gyrum tabernaculi conventus."
Nm_3,vulgata,"Hae sunt generationes Aaron et Moysi in die, qua locutus est Dominus ad Moysen in monte Sinai. Et haec nomina filiorum Aaron: primogenitus eius Nadab, deinde Abiu et Eleazar et Ithamar."
Nm_4,vulgata,Locutusque est Dominus ad Moysen et Aaron dicens: “ Tolle summam filiorum Caath de medio Levitarum per familias et domos suas
Nm_5,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Praecipe filiis Israel, ut eiciant de castris omnem leprosum et qui semine fluit pollutusque est super mortuo."
Nm_6,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Loquere ad filios Israel et dices ad eos: Vir sive mulier cum fecerint votum, ut sanctificentur et se voluerint Domino consecrare,"
Nm_7,vulgata,"Factum est autem in die, qua complevit Moyses habitaculum et erexit illud unxitque et sanctificavit cum omnibus vasis suis, altare similiter et omnia vasa eius, obtulerunt principes Israel et capita familiarum, qui erant per singulas tribus praefecti eorum, qui numerati fuerant,"
Nm_8,vulgata,"Locutusque est Dominus ad Moysen dicens: “ Loquere Aaron et dices ad eum: Cum posueris lucernas, contra eam partem, quam candelabrum respicit, lucere debebunt septem lucernae ”."
